No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
1	93982	94248	0	0	1	2	"c approaches, in contrast, tend to lend themselves well to the generalisation problem, rapidly producing effective generalisations as the discovery of dependancies proceeds (see, for example, [79] or =-=[98]-=-). However, the results from a subsymbolic learner are difficult to analyse in order to produce a human comprehensible form. Once again, additional processing stages are required if this problem is to"
							
							
							
2	98823592	106541811	0	0	1	2	"tin components (19, including the histones), proteins involved in ubiquitination and proteasome-mediated degradation (11) and components of the endoplasmatic reticulum and related membrane structures =-=(14)-=-. DISCUSSION We describe a versatile method which allows for detailed analysis of the length of the poly(A) tail. It detects changes in poly(A) tail length and allows for separation of the RNAs into m"
							
							
							
3	71644941	72606398	0	1	2	0	"gies also play an essential role in cases of emergent synchrony. Thus, hubs in the network were proposed to shorten the path length between elements and therefore to foster fast and stable synchrony (=-=Arecchi et al., 1999-=-; Grinstein and Linsker, 2005). An alternative approach to study dynamical properties and to infer functionality of the topology of complex networks is the decomposition of a network in principle buil"
							
							
							
4	5683907	5495133	1	1	1	0	"`Tech (Henzinger, Ho, & Wong-Toi 1997) is a model checker for hybrid systems that has been successful in analyzing many hybrid systems of practical interest (Ho & Wong-Toi 1995; Ho 1995; Corbett 1996; =-=Henzinger & Wong-Toi 1996-=-; Stauner, Muller, & Fuchs 1997; Villa et al. 1998). One shortcoming of HyTech is that it restricts the dynamical model to linear hybrid automata, in which This research was supported in part by the N"
							
							
							
5	92441704	98019461	2	0	1	0	mechanism to organize the data in the system. SPEERTO [25] explores a skyline-based routing which forwards the top-k queries among super-nodes to minimize the data transferred in the system. PlanetP =-=[9]-=- uses gossip to globally replicate a membership directory and a term-to-peer context index. A searching node first identifies the set of nodes having the query related terms with the global index and 
							
							
							
6	143191554	162341110	0	0	3	0	"rate on the implementation of our extension and its possible applications. Nonetheless, it would be interesting to define a formal, structural translations between the two models, like it was done in =-=[2, 6]-=- between TA and TPN. Some of our results also show similarities between fickle transitions and the use of stopwatch [4]. In the general case, it does not seem possible to encode one extension with the"
							
							
							
7	70445769	71320086	2	0	1	0	"ity to simultaneously measure several species present in a mixture are clearly advantageous in comparison with traditional structural biology methods such as NMR spectroscopy or X-ray crystallography =-=(26,32)-=-. An important requisite for obtaining meaningful results by native MS is high sample quality, such as the absence of non-volatile buffers or salts in the spraying solution (23,25,27). Therefore, meth"
							
							
							
8	153802602	172850780	1	1	1	0	"PDB-ID: 2NWX) [11] were selected; missing residues (side chains and residues) were added using MODELLER version 9.8 [47]. The third sodium ion was placed into the previously reported ion binding site =-=[23]-=-. GltPh was embedded in a pre-equilibrated POPC bilayer using the g_membed [48] procedure and solvated with water, electro-neutralized and a physiological concentration of NaCl (150 mM). The SPC water"
							
							
							
9	119533960	134241448	2	0	0	1	"llator (c) and current reuse Miller-like oscillator (d)sFig. V-14. Small signal model of Pierce-like (a) and Miller-like (b) oscillatorssCross-coupled topology has been considered in WSN applications =-=[103]-=-, [73].sNevertheless other VCO circuits may be necessary in some cases. Due to low efficiency ofspower amplifiers in low power transmitters (See Table V-1), the trend in WSN is to avoidsthem or use ve"
							
							
							
10	42087131	43508434	1	0	1	1	"al extension of results presented in [8] about dynamical properties of pseudo-Anosov maps. In this paper we present a method for computing the entropy of braids without working with train tracks, see =-=[2]-=-. More precisely, we construct for every braid ?, an integer sequence cm whose growth factor is the entropy of ?. The major drawback of this method is that it is not an algorithm since we don"
							
							
							
11	154492055	173624127	0	0	2	1	"nd lower priority on radial growth (Wunder et al. 2008). Slow-growing trees are thus likely to be unhealthy, exhibit physiological stress, and be prone to infection or death (Van Mantgem et al. 2003; =-=Bigler et al. 2004-=-). Most temperate-zone studies confirmed that tree vigor is a good indicator of mortality risk (Yao et al. 2001). In our framework, an additive error describes the vigor of each tree individually, reg"
							
							
							
12	7427316	7103486	1	0	2	0	"low momentum lost to bank shear stress. By modeling topographic steering, I can model meandering. 111sI develop a simple, nonlinear river meandering model to test the topographic steering hypothesis [=-=Dietrich and Smith, 1983-=-; Dietrich and Whiting, 1989]. The model is not based on a perturbation solution, linear or nonlinear, of the flow equations. Rather, in the topographic steering river meandering (TSRM) model I have s"
							
							
							
13	10322185	9732651	2	0	0	1	"hich, in practice, usually means very long signals to be processed. 3.1 Decomposition of the Superimposed EMGs There has been a lot of successful approaches to the low-level contraction EMG analysis [=-=Zazula et al. 1995-=- (1)]. Nevertheless, in the case of higher contraction forces or of surface EMG recordings, the superimpositions become too heavy to be decomposed by those approaches. We decided to evaluate several s"
							
							
							
14	3726710	3611476	0	0	1	2	"librium [22]. Yet the problem may occur also in models involvingsnite number of players (e.g. service providers) for which the Nash equilibrium is the optimality concept. This has been illustrated in =-=[17, 1-=-8]. The Braess paradox has further been identied and studied in the context of distributed computing [13, 14] where arrivals of jobs may be routed and performed on dierent processors. The Braess parad"
							
							
							
15	55615436	56248051	1	0	1	1	"sfying our three desired properties. By changing the definition of a scoring rule to accept a cumulative distribution function (CDF) instead of a probability mass function (PMF), Matheson and Winkler =-=[9]-=- provided a positive answer. However, the CDF may not be easily accessible. For example, for bayesian models, the expert may easily learn and communicate the PMF of the true distribution, but not nece"
							
							
							
16	76107041	78001904	1	1	1	0	"r consideration for sampling. This method leads to a discrete search problem, that is solved at the cost of a timely optimization procedure in [25], or at the cost of a sub-optimal greedy approach in =-=[24]-=-. Another related method, presented in [26] and, in deeper details, in a private communication with the authors, starts from independent sets of directions uniformly spread on the sphere, and then fin"
							
							
							
17	15311306	14275649	2	1	0	0	"our proof still requires only the decisional Diffie-Hellman assumption. We point out in particular one modification: we now assume that H is collision resistant, whereas in [33, 35, 36] (and also in =-=[24]-=-) it was only assumed that H is universal one-way. The protocol shown here uses H to hash different information than in [33, 35, 36], and this change seems to require collision resistance of H. We hav"
							
							
							
18	108393047	119566127	2	1	0	0	"negative control culture)]. Potential drug toxicity of WHI-07 versus ZDV in these cultures was also monitored by viability and absolute cell count analysis using the trypan blue dye exclusion method =-=(34)-=-. A minimum of 500 cells were enumerated to identify the maximum tolerated dose for each drug, which was the maximum dose at which the cultures showed no toxicity. Intravaginal and intrarectal microbi"
							
							
							
19	146907779	165407022	1	0	2	0	"med state-of-the-art performances in a wide range of tasks. These include (but not limited to) speech (Mohamed et al., 2009; Dahl et al., 2010) and vision (Jarrett et al., 2009; Ciresan et al., 2011; =-=Rifai et al., 2011-=-a; Krizhevsky et al., 2012). All of the above mentioned papers use the softmax activation function (also known as multinomial logistic regression) for classification. Support vector machine is an wide"
							
							
							
20	164505776	185676710	0	0	2	1	"pecific diagnostic serological assay.s92sCHAPTER 5sCONCLUDING REMARKSs93sFoot-and-mouth disease (FMD) is a highly contagious livestock disease and presents a threatsto livestock industries worldwide (=-=Sobrino et al., 2001-=-).sEconomic losses as a result of assingle outbreak can amount to millions in currency as a consequence of livestock losses, losssof export markets, and the cost of control procedures (Hunter, 1998).s"
							
							
							
21	154597974	173742602	0	0	2	1	"e of effective disinfectants. also, animals introduced into facilities shouldsbe tested as mNV free by quarantine and periodicallysconfirmed as MNV free by microbiological monitoringsusing ELISA, IFA =-=[15]-=-, and RT-PCR methods [10]. Acknowledgments We thank Tomoichiro oka (National institute of infectious Diseases) for providing primers for RT-nested PCR. This work was supported by a grant-in-aid for Sc"
							
							
							
22	82601386	85685932	1	0	1	1	"the background ice in an Antarctic search for meteorites (Wagner et al., 2001). Methods employing 3D geometry include the stereo-based techniques of Fox et al. and Pedersen et al. (Fox et al., 2002; =-=Pedersen, 2002-=-). These fit a simple parametric model to the terrain in order to identify large rocks that protrude above the surface, performing best in environments without undulating terrain, small or embedded ro"
							
							
							
23	119781530	134542795	1	0	1	1	"+ ?~p = 0, with, ? > 0 sufficiently small. This procedure is motivated by continuous stabilization procedures developed for the finite element approximation of Stokes and Navier-Stokes equations (see =-=[3, 18]-=-). 12 The procedure described above leads us to the following system of equations (4.8"
							
							
							
24	60033977	60623152	1	0	2	0	"he correct identification, we have computed our starburst model at z = 3.36 and deduced age (and hence formation redshift) that best fits the measured optical colors of 3-577.0 (from the optical HDF (=-=Williams et al. 1996-=-)). The result is that we can obtain an excellent fit to the u ? b, b ? v and v ? i colors of 3-577.0, for a starburst age of about 0.6 Gyr. Our extinction model, that requires an age of more than 15 "
							
							
							
25	43470053	44605878	0	2	1	0	"variant is the finite-variable polynomial PG, discussed above. A multivariate version of the Tutte polynomial, where the edges of a graph are weighted, is important in the analysis of the Potts model =-=[27]-=-. We define its generalization, a multivariate version of the polynomial PG, and establish a duality analogous to (1.2) in section 7. (A mutlivariate version of the Bollob"
							
							
							
26	74733783	76407977	1	0	2	0	"rker, 1999; Johnson et al., 2006). This evidence has lead to a large literature that explores models with incomplete markets and heterogeneous households (Deaton, 1991; Carroll, 1992; Aiyagari, 1994; =-=Krusell and Smith, 1998-=-). Models in this class allow for very limited insurance against idiosyncratic income shocks as households only have access to self-insurance through savings. Some aspects of the microeconomic data po"
							
							
							
27	153717120	172754326	1	0	0	2	"provide assistance and stimulation. Although there is little insight into why any of the RecQ helicases interact or stimulate one another, we have observed some important scenarios of this interplay =-=(22,23)-=-. As humans have five RecQ helicases, it would suggest that the activity of just one RecQ helicase might be insufficient to meet the demands of normal cellular metabolism. Multiple mechanisms likely c"
							
							
							
28	183672379	213094830	1	0	0	2	"ing thesmethodological influences which can affect educators more directly.sIn this sense and from thesdecade of the 70s, educational psychologists first and, later, researchers in science educations(=-=Driver, 1986-=-) demonstrated that the logical structures used by the students depend to a greatsextent on the context of the task. Vigotsky (1989) pointed out that the tasks to be solved by thesstudents have to be "
							
							
							
29	200248053	237147104	1	0	1	1	"l-flow branch points had to be remembered, so that certain programs were not incorrectly flagged as insecure. We will not go into further details of the previous definition here, referring instead to =-=[BS06b]-=-. By recovering flow-sensitivity, our revised definition will simplify the notion of future sensitivity and eliminate the need for past awareness altogether. A Knowledge-based Approach One of the fund"
							
							
							
30	152829545	171766877	0	1	1	1	of residence) and estimated date of seroconversion were screened for all the isolates contributing to clusters. Genetic divergence estimated as the mean pairwise genetic distances under the K2P model =-=[99]-=- was also calculated for comparison with previously published estimates. Phylodynamics of HIV-1 in Thailand PLoS ONE | www.plosone.org 7 March 2011 | Volume 6 | Issue 3 | e16902 Genetic estimates and 
							
							
							
31	161283918	181264881	1	0	0	2	"pre-treatment with KGF-2 could significantly reduce high-altitude pulmonary oedema in rat model, most likely through down-regulation of apoptosis, and proliferation of type II cells in alveolar space =-=[20]-=-. However, it is unclear whether KFF-2 has the potential to prevent VILI, especially in vivo. KGF-2 may affect alveolar"
							
							
							
32	123325295	138836541	0	2	0	0	"n graphs D(n,K), CD(n,K) and A(n,K) (see [10], [25], and further references). There are several implementations of symmetric algorithms for cases of fields (starting from [7]) and arithmetical rings (=-=[19]-=-, in particular). Some comparison of public keys based on D(n,K) and A(n,K) are considered in [21]. The general scheme is the following one. We can use a family of elements f(n) with invertible decomp"
							
							
33	6878334	6587480	1	0	2	0	rent users are not allowed to see some parts of an image [34]. Image compression and encryption: An image compression algorithm can be modied such that its output can be decomposed into several parts =-=[11]-=-. The encryption process classies each part into two types: the crucial parts and the remaining parts. The crucial parts contain the signicant information about the original image. The remaining parts
							
							
							
34	45931433	46751915	1	1	1	0	"and in the limiting case of continuous actions, one must settle for approximate solutions found by performing line search or resort to specialized techniques for representing the cost-to-go function =-=[8]-=-. For finite state and action spaces, DP algorithms are guaranteed to converge to the optimal value function in a finite number of iterations. However, when the number of states and actions is large, "
							
							
							
35	3486085	3383729	1	0	1	1	"minated elements. Table 2. Method of modelling fracture Model Main ideas Cohesive zone models (CZM) [19] Computational cell methodology (CCM) [20, 21] Cell model of material [22] Smeared crack models =-=[23, 24]-=- Embedded crack model (ECM) [25] Hybrid fracture/ damage approach (HFDA) [26] Element elimination and element softening approaches [18, 2] Crack path is prescribed, and presented as a thin material la"
							
							
							
36	121991313	137207952	1	1	0	1	t (requirement trade-off approach).sDealing with uncertainty has been recently treated as ashot issue in the literatures [37]. Initial solutions forsovercoming uncertainty limitations are reported in =-=[38]-=-swhich later resulted in development of a new languagesnamed RELAX [39]. It provides the system with thesflexibility to trade-off the requirements at run-time andsallows some certain requirement to be
							
							
							
37	141363216	160834211	1	2	0	0	"total cross-section associated with a simple pole consists of a power law of s with exponent (related with the intercept) around - 0.5. In its simplest and original version (Donnachie-Landshoff model =-=[45, 46, 47]-=-), this trajectory is degenerate, representing both C = +1 and C = ?1 mesonic trajectories, namely (a, f) and (?, ?), respectively. However, several amplitude analyses, including also both spectroscop"
							
							
							
38	33543943	33405032	1	2	0	0	"so that the actual number of learning steps is bound by the fifty steps. 9.3.1 Multistep Maze Problems We apply XCS to three different maze problems previously studied with the XCS classifier system (=-=Lanzi, 1999-=-a) and other LCS systems (Butz, 2002). The investigated Maze problems are shown in Figure 9.1. Hereby, symbol T stands for an obstacle (or a tree) and symbol F (for food) stands for a position that tr"
							
							
							
39	184532306	214321738	1	0	0	2	"avioural change. Organisational learningsrequires that the knowledge generated arouses improvements in practices and processes.sHuman behaviour and social interactions are impregnated with knowledges(=-=Davenport and Prusak, 1998-=-), are based on it and generate new understandings fromseach experience. Knowledge can be itself an experience (Neto, 2011). This assumption issvalid for any context in which people exist and interact"
							
							
							
40	8656257	8232290	1	0	0	2	"d variable selection procedures often choose some subset of variables that yields a high R 2 and a highly significant overall F value. We refer to this unfortunate phenomenon as ""Freedman's Parad=-=ox"" (Freedman, 1983-=-). In this situation, Occam's Window usually indicates the null model as the only one to be considered, or else a small number of models including the null model, thus largely resolving the paradox. K"
							
							
							
41	60303384	60933883	0	0	2	1	". One of them is to investigate the motion in the presence of small sustained perturbations [119,120,122], the other is the study of fluctuations under the influence of small stochastic perturbations =-=[32,33]-=-. In this section, we join mainly the first direction. A small unpredictable discrepancy between the real system and the dynamical model can be simulated by periodical "
							
							
							
42	296438	276381	0	0	2	1	"her varying sets of relationships hold between the idealized and actual architectures. However, reflexion models do not make direct use of architectural concepts such as styles and connectors. MORALE =-=[28]-=- is an approach for evolving legacy software systems developed with procedural languages. COREM [10] is an approach that converts procedural into object-oriented systems via four steps: design recover"
							
							
							
43	195085577	229601297	2	1	0	0	"x shapes in a high level of noise (0 dB SNR) and on natural images. Comparative results are presented with a quad-tree region-only method [11], an MRF based technique Iterated Conditional Modes (ICM) =-=[26]-=- and on an implementation of the popular Canny edge detector [16]. 2 A Two-stage, Region-Boundary Model for Segmentation The image model is derived from one quad-tree image model introduced in [27], f"
							
							
							
44	131071398	149299630	3	0	0	0	"eflections ( )w ?sand non-dimensionalsin-plane tensions ( )rS ?scan be reproduced.sFurthermore, the chosen analytical approach is validated with asnumerical finite-element analysis (FEM) conducted in =-=[12]-=- using circular Mylar"
							
							
							
45	25168179	24274581	0	1	1	1	"ate with a small V FSR . Many techniques have been devised to overcome this design challenge of low voltage operation, such as low threshold devices [28], the bootstrap technique [12], switchedopamps =-=[59]-=-, and special biasing schemes [35]. In addition to these techniques, several design strategies for low voltage ADCs have been introduced [24, 38, 48, 14]. All of these low voltage techniques have been"
							
							
							
46	9318864	8833768	1	0	2	0	"ting adaptive and robust artifacts. With the GA and ANN models in place, an obvious step is to combine the two in order to evolve ANNs. Indeed, much research has proceeded along these lines. Refer to =-=[44]-=-, [49], [39], and [6] for extensive review and references. 27 Evolving Connection Strengths Supervised learning in an ANN is usually formulated as a procedure for searching for network connection stre"
							
							
							
